﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6YiF6WhVPCck6IlAKl5Nsk","Yxes","Com Truise","In Decay","1","9","232000","spotify:user:padishahpiper","2019-04-16T03:35:08Z"
"spotify:track:2AV7dRxahH7vF4Fsk9hreo","What Are You To Me?","UNKLE","Never, Never, Land","1","6","412800","spotify:user:padishahpiper","2019-04-16T03:36:19Z"
"spotify:track:0azwZr92DArl1Eyty2T1No","Mutual Slump","DJ Shadow","Endtroducing.....","1","10","240047","spotify:user:padishahpiper","2019-04-16T03:37:20Z"
"spotify:track:5RL7Pq7FlVHDu4ZFivKTeU","Expiration Date","Blockhead","Downtown Science","1","1","341986","spotify:user:padishahpiper","2019-04-16T03:38:59Z"
"spotify:track:2UhhSTIAKDa5lwWItkYvIE","No Way","The Naked And Famous","Passive Me, Aggressive You","1","8","329800","spotify:user:padishahpiper","2019-05-03T17:49:50Z"
"spotify:track:6lQE6LF3MU63Z6VyhPxaV3","Stars","Hum","You'd Prefer An Astronaut","1","3","309106","spotify:user:padishahpiper","2019-05-03T17:36:22Z"
"spotify:track:6sQEHHIxPTRQCzTtzSQasr","Where Do I Begin","The Chemical Brothers","Dig Your Own Hole","1","10","411133","spotify:user:padishahpiper","2019-05-03T17:33:15Z"
"spotify:track:2QVmiA93GVhWNTWQctyY1K","Outro","M83","Hurry Up, We're Dreaming","2","11","247026","spotify:user:padishahpiper","2019-05-03T17:34:10Z"
