﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0QyMDyosGai50pjaFbC1NO","Destination Unknown","Missing Persons","Spring Session M.","1","4","216840","spotify:user:padishahpiper","2019-10-19T01:29:07Z"
"spotify:track:3EEJiZZ8b3Ke2bK0ylgvlh","Saved By Zero","The Fixx","Ultimate Collection: The Fixx","1","5","204733","spotify:user:padishahpiper","2019-10-19T01:29:11Z"
"spotify:track:38Ngied9rBORlAbLYNCl4k","Once in a Lifetime - 2005 Remaster","Talking Heads","Remain in Light (Deluxe Version)","1","4","259906","spotify:user:padishahpiper","2019-10-19T01:29:15Z"
"spotify:track:1GVnAD8Iz45rux6EC657Yv","Our Lips Are Sealed - Single Version","The Go-Go's","Beauty And The Beat","1","1","167960","spotify:user:padishahpiper","2019-10-19T01:29:18Z"
"spotify:track:56KqaFSGTb7ifpt16t5Y1N","Rock the Casbah - Remastered","The Clash","Combat Rock (Remastered)","1","4","222426","spotify:user:padishahpiper","2019-10-19T01:29:29Z"
"spotify:track:0GTK6TesV108Jj5D3MHsYb","Owner of a Lonely Heart","Yes","90125 (Deluxe Version)","1","1","268506","spotify:user:padishahpiper","2019-10-19T01:29:41Z"
"spotify:track:3jKeRdAGI6vMnm6BTKaaRr","Red Skies - Original Version","The Fixx","Ultimate Collection: The Fixx","1","2","261160","spotify:user:padishahpiper","2019-10-19T01:29:50Z"
"spotify:track:760xFXFj5Fksa3jawSCn5g","Goody Two Shoes","Adam Ant","Friend Or Foe","1","7","209213","spotify:user:padishahpiper","2019-10-19T01:29:55Z"
"spotify:track:0ROtxObpdDA25o5DriPSOk","Der Kommissar","After The Fire","Radio Hits Of the '80s","1","6","337186","spotify:user:padishahpiper","2019-10-19T01:29:57Z"
"spotify:track:5kz9GDBTX846OXwqWoyKzF","We Got The Beat","The Go-Go's","Beauty And The Beat","1","6","153133","spotify:user:padishahpiper","2019-10-19T01:30:08Z"
"spotify:track:02RkunUrCBLE5J6jY56QH3","Never Say Never","Romeo Void","Warm, In Your Coat","1","14","353666","spotify:user:padishahpiper","2019-10-19T01:30:13Z"
"spotify:track:0a9N94pHEOmE2xLBsygyy7","Alive And Kicking","Simple Minds","Once Upon A Time","1","4","326000","spotify:user:padishahpiper","2019-10-19T01:30:15Z"
"spotify:track:3Mp0s4jN8X7J74Qt6sgDXl","The Metro","Berlin","Pleasure Victim","1","5","251200","spotify:user:padishahpiper","2019-10-19T01:30:24Z"
"spotify:track:1YGZyfvdgZxzipWoWYVKxi","Kids In America","Kim Wilde","Kim Wilde","1","5","205533","spotify:user:padishahpiper","2019-10-19T01:30:40Z"
"spotify:track:1gzIbdFnGJ226LTl0Cn2SX","White Wedding - Pt. 1","Billy Idol","Billy Idol","1","2","252200","spotify:user:padishahpiper","2019-10-19T01:30:44Z"
"spotify:track:4ZhPLoMzZwewHLLjV1J15c","99 Luftballons","Nena","Nena","1","6","232466","spotify:user:padishahpiper","2019-10-19T01:30:55Z"
"spotify:track:5njp5WB906Pc0lYPBFgIrY","No More Words","Berlin","Love Life","1","9","235000","spotify:user:padishahpiper","2019-10-19T01:31:02Z"
"spotify:track:1BZMMt9H0TheQGWQy44KmO","Only The Lonely - Remastered 1999","The Motels","All Four One","1","3","196200","spotify:user:padishahpiper","2019-10-19T01:31:22Z"
"spotify:track:0oc7YoWV783fGr2GbdcIrz","Vacation","The Go-Go's","Vacation","1","1","179826","spotify:user:padishahpiper","2019-10-19T01:31:41Z"
